age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,cluster,pca_1,pca_2
49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,-1,0,unknown,yes,2,1.5209722322787662,3.212097590706363
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown,yes,2,1.3673781930918714,2.4472543528043476
43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,-1,0,unknown,yes,2,0.9708645780272719,0.8421128906867238
43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes,2,1.378287269619372,1.6959458893475783
43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes,2,1.4369877211270443,2.6008304224322756
37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown,yes,2,1.0817901570884971,0.6499935665799842
35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,4,-1,0,unknown,yes,2,1.2650441086579105,1.5541251956089714
31,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,3,-1,0,unknown,yes,2,1.001268821632559,0.1850188123344973
43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,3,-1,0,unknown,yes,2,1.2570924337226739,1.6613419090504222
31,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,1,-1,0,unknown,yes,2,1.2359175984326685,2.097928917386792
28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,1,-1,0,unknown,yes,2,1.1122345728954737,1.536499909340774
32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,1,-1,0,unknown,yes,3,1.7346050494757401,2.40642080616376
60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,-1,0,unknown,yes,2,1.3690219384904068,1.883487961062946
26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,-1,0,unknown,yes,2,1.1133706354718138,1.5382918266329615
40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,0,unknown,yes,2,1.3829641721045614,2.068857052747191
33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,2,-1,0,unknown,yes,2,1.5027723947975309,2.8788365284430077
32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,yes,2,1.0326187508503437,-0.21020651314585131
35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,4,-1,0,unknown,yes,2,1.4801390005958395,1.4632638662879294
33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,1,-1,0,unknown,yes,2,1.4217845416282548,2.063596372020737
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,yes,2,1.2848645866275585,1.1347939023727704
23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,yes,2,1.2732521453814833,1.8203318957561707
60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,1,-1,0,unknown,yes,2,1.599487046132688,3.203753832327106
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown,yes,2,1.1929034492134052,1.2255177043080632
45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,-1,0,unknown,yes,2,1.293855045391178,1.9217455362900058
36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,4,-1,0,unknown,yes,2,1.4437305207923534,1.8952282147289368
52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,yes,2,1.0574102082111454,0.7943876683566224
35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,yes,2,1.5754227985710985,2.859560926084699
43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown,yes,2,1.2970943364190035,1.0822877377754536
52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,3,-1,0,unknown,yes,2,1.3690352518989044,1.7622540837422378
53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,1,-1,0,unknown,yes,2,1.4200443933892866,2.146788063839758
48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,1,-1,0,unknown,yes,2,1.5552362854353872,3.0116156449398765
41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,1,-1,0,unknown,yes,2,1.3518552934170744,2.074840553026286
39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,-1,0,unknown,yes,2,1.4827908911851881,2.1190337967025763
59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,2,-1,0,unknown,yes,2,1.509073812603549,2.2293071819130494
41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,1,-1,0,unknown,yes,2,1.2897753338797682,1.9547724274622804
48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,2,-1,0,unknown,yes,2,1.3474367311401176,2.044452773872515
40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,1,-1,0,unknown,yes,2,1.3044561444050464,2.0942834789894587
48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,1,-1,0,unknown,yes,2,1.3090075874635245,2.063827067532802
60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,-1,0,unknown,yes,2,1.3995672393476755,2.2395124776069135
40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown,yes,2,0.917959470189318,-0.3570819352715946
57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown,yes,2,1.162177328574179,-0.10504966334820114
51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,1,-1,0,unknown,yes,2,1.2541216836465516,1.9133713033228794
41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown,yes,2,1.5117981766432436,2.2365143316204685
41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,4,-1,0,unknown,yes,2,1.4846626769620344,1.9169505028985516
52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown,yes,2,1.5694933598152923,3.0472437668948316
59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,1,-1,0,unknown,yes,2,1.453933571388482,2.690835378473441
44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,-1,0,unknown,yes,2,1.1011578603719145,1.0845148860692517
49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,-1,0,unknown,yes,2,1.5036962463273167,1.9914567370855711
40,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,-1,0,unknown,yes,2,1.4214215292207106,1.8380310572798277
41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,1,-1,0,unknown,yes,2,1.429559721551128,2.639432088248048
44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,2,-1,0,unknown,yes,2,1.1336759993074281,0.5378111174759208
60,services,single,primary,no,313,yes,no,unknown,15,may,920,2,-1,0,unknown,yes,2,1.333901410490647,1.6174553326957408
29,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,2,-1,0,unknown,yes,2,1.0804108396096186,-0.19409468719872877
41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,2,-1,0,unknown,yes,2,1.5841592168075969,2.4823217571771425
41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,-1,0,unknown,yes,2,1.4264611213264449,2.444011944991651
42,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,6,-1,0,unknown,yes,2,1.4267135234489963,0.6043422328389401
36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,-1,0,unknown,yes,2,0.9139568317405494,-0.06976929339162626
39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,1,-1,0,unknown,yes,2,1.294288339303445,1.1576476498831576
31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,unknown,yes,2,1.037517467734404,0.48119951216391177
26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,-1,0,unknown,yes,2,1.4389530578767011,1.8185703025170372
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown,yes,2,1.3185700971921734,1.9213409040570308
29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,1,-1,0,unknown,yes,2,1.3736284761184325,2.1091685005152594
37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,2,-1,0,unknown,yes,2,1.41313626887836,1.716175998700204
33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown,yes,2,1.2663898733034762,1.5238040617122177
24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,1,-1,0,unknown,yes,2,1.1110093875536813,0.5660273761696003
50,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340,1,-1,0,unknown,yes,2,1.525434133382712,2.6222511922671123
27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown,yes,2,0.9666465664226681,0.0017030082531037068
54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,3,-1,0,unknown,yes,2,1.1860780839077887,0.7419352522504361
30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,5,-1,0,unknown,yes,2,1.3239655544235158,0.5123077050750925
34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,4,-1,0,unknown,yes,2,1.7435175568233752,2.8559895288862855
37,management,single,secondary,no,792,yes,no,unknown,16,may,1187,4,-1,0,unknown,yes,2,1.3485896876662127,1.1511771411433527
41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,1,-1,0,unknown,yes,2,1.2690478844650759,1.6582747465978858
47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,2,-1,0,unknown,yes,2,1.4353854786490465,1.9992772185514913
31,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,1,-1,0,unknown,yes,2,1.3579104723857083,1.9967026043768028
31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,4,-1,0,unknown,yes,2,1.5110543495560202,1.7938588506506503
43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,3,-1,0,unknown,yes,2,1.4848947577038587,1.6859971986213553
37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,2,-1,0,unknown,yes,2,1.4592650234427813,1.5236187565535908
30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown,yes,2,1.4342918414683437,0.47648062450134854
41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,5,-1,0,unknown,yes,2,1.4452652501978511,1.0076558017496544
36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,1,-1,0,unknown,yes,2,1.2951787782123196,1.785812957773145
35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,1,-1,0,unknown,yes,2,1.5288488694374038,2.332358695310792
29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,2,-1,0,unknown,yes,2,1.315840346569882,0.7729709038575441
35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,1,-1,0,unknown,yes,2,1.527591573995517,2.407567027590439
31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,-1,0,unknown,yes,2,1.3705168901664355,1.8537128780989378
35,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,1,-1,0,unknown,yes,2,1.3341133098199376,1.1400982995584819
34,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,4,-1,0,unknown,yes,2,1.3384666413800599,0.55897197432748
31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,1,-1,0,unknown,yes,2,1.4384799298737563,2.078118338718189
44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,3,-1,0,unknown,yes,2,1.482735749317928,1.470670149722385
36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,2,-1,0,unknown,yes,2,1.7026000270878403,2.89185628977068
35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,2,-1,0,unknown,yes,2,1.1582780154327554,0.7657000430204988
41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,2,-1,0,unknown,yes,2,1.5734075352149577,2.4053468372678872
31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,1,-1,0,unknown,yes,2,1.3532645149681193,1.9405623831288263
34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,1,-1,0,unknown,yes,2,1.3832161715389948,1.8618407863375055
32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,2,-1,0,unknown,yes,2,1.3266854797814032,0.9628455421784592
36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,2,-1,0,unknown,yes,2,1.45452629898708,1.5666705654608961
30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,1,-1,0,unknown,yes,3,1.7298548640713942,1.838387334861788
37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,1,-1,0,unknown,yes,2,1.168404048996203,0.6147825064117052
36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,2,-1,0,unknown,yes,2,1.5247362233877015,2.3625795948574217
31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,2,-1,0,unknown,yes,2,1.1419909272054969,0.5959715516503976
27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,1,-1,0,unknown,yes,2,1.4128324709767845,1.4036780921730727
34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,1,-1,0,unknown,yes,2,1.4242972277631527,0.8807997269140967
30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,2,-1,0,unknown,yes,2,1.1718287647494725,0.03428869200886433
32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown,yes,2,1.0624048022530943,-0.0589313260245701
37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,1,-1,0,unknown,yes,2,1.1409743353664987,0.5462220538480225
32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,yes,2,1.4802943106783668,1.805767249976332
33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,3,-1,0,unknown,yes,2,1.4593567678575177,1.8393506985161283
35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,8,-1,0,unknown,yes,2,1.8774754320720966,2.171256315379304
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,-1,0,unknown,yes,2,1.389197087608424,1.19977849889241
30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,1,-1,0,unknown,yes,2,1.2874069504760317,1.421930415774614
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,-1,0,unknown,yes,2,1.6732666886227237,2.8959705242005365
45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,3,-1,0,unknown,yes,2,1.5414848583811585,2.0423470176460583
33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,-1,0,unknown,yes,2,1.4683324725194766,1.7705072035751925
44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,6,-1,0,unknown,yes,2,1.5085403125954717,0.3308803828900342
40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,3,-1,0,unknown,yes,2,1.6345052996404816,2.367759476072254
31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,2,-1,0,unknown,yes,2,1.4651703715577544,1.7322244504501396
30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,2,-1,0,unknown,yes,2,1.2488414457118018,0.4080253973769594
44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,11,-1,0,unknown,yes,2,1.9313818012074253,1.1972478403935403
34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,1,-1,0,unknown,yes,2,1.373122383299506,1.2129938788778922
37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,2,-1,0,unknown,yes,2,1.4512157841003772,0.9152369094205293
28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,2,-1,0,unknown,yes,2,1.2669907052800962,0.3265411583393046
32,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,3,-1,0,unknown,yes,2,1.461463238292398,1.4573512257869634
37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,2,-1,0,unknown,yes,2,1.5967167231311288,2.249562933519856
34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,-1,0,unknown,yes,2,1.424426380831834,0.8852632891697105
38,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,2,-1,0,unknown,yes,2,1.5945709475108516,2.3708014531659996
28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,6,-1,0,unknown,yes,2,1.5568128334910276,1.3455705456943345
31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,4,-1,0,unknown,yes,2,1.5804918494543598,1.3033491805514659
59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,3,-1,0,unknown,yes,2,1.504697529694616,1.3954915202018408
24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,-1,0,unknown,yes,2,1.5234646144930022,1.6750012932471279
26,services,single,secondary,no,901,yes,no,unknown,26,may,764,2,-1,0,unknown,yes,2,1.2797406560680247,0.6527692002889934
59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,-1,0,unknown,yes,2,1.538873531109294,1.131442463243864
30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,-1,0,unknown,yes,2,1.6033331643852144,2.276791475239189
37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,-1,0,unknown,yes,2,1.5593521355375302,1.9145924444976474
30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,-1,0,unknown,yes,2,1.5008765502118462,2.0119175471141557
25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,1,-1,0,unknown,yes,2,1.4356483921572314,1.742356925683796
44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,2,-1,0,unknown,yes,2,1.9040967037005705,2.1879221767882364
29,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,-1,0,unknown,yes,2,1.3394351197722014,-0.0034465245127705863
26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,2,-1,0,unknown,yes,2,1.2206356130573013,0.2799358533152415
26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown,yes,2,1.3129241784151222,0.3960788505238036
27,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,-1,0,unknown,yes,2,1.2971337168229742,0.6675535912023229
25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,2,-1,0,unknown,yes,2,1.29617267792212,0.7178149454170174
28,management,married,secondary,no,292,yes,no,unknown,28,may,507,1,-1,0,unknown,yes,2,1.3969350056979124,1.429045343496407
23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,-1,0,unknown,yes,2,1.2883685182906022,0.6357124576955365
34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,2,-1,0,unknown,yes,2,1.2524386414176865,0.544020355793487
28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,1,-1,0,unknown,yes,2,1.3252899427141032,0.5703063973093805
51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,9,-1,0,unknown,yes,2,1.6211817596215077,0.6904712388726074
35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,1,-1,0,unknown,yes,2,1.6149282315554334,2.333112433809651
35,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,1,-1,0,unknown,yes,2,1.46829746218126,1.9179404229891444
56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,-1,0,unknown,yes,2,1.5589523409510546,1.9997950542327327
45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,-1,0,unknown,yes,2,1.4581183526250043,1.248238898498604
60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,1,-1,0,unknown,yes,2,1.6709953661205519,2.483789164848323
56,technician,married,secondary,no,589,yes,no,unknown,29,may,535,2,-1,0,unknown,yes,2,1.438133067840637,1.1206067451944557
27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,3,-1,0,unknown,yes,2,1.1370220718204214,0.05237775784740147
30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,3,-1,0,unknown,yes,2,1.5680635847124522,1.8040706807984697
45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,2,-1,0,unknown,yes,2,1.7600909870016825,2.7757668555341093
29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,2,-1,0,unknown,yes,2,1.4063587779468196,1.3305025184155035
38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,2,-1,0,unknown,yes,2,1.4933528791469088,1.275922311273211
30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,3,-1,0,unknown,yes,2,1.587075667195806,1.7096282215619325
44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,3,-1,0,unknown,yes,2,1.5614267111195885,1.8898512181292269
36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,1,-1,0,unknown,yes,2,1.1501192999947427,0.35517619591445354
38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,3,-1,0,unknown,yes,2,1.490781588837807,0.9183182652126416
36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,2,-1,0,unknown,yes,2,1.602746244302025,1.8886854793056223
37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,1,-1,0,unknown,yes,2,1.5633575112056932,1.9157901053100623
35,management,single,tertiary,no,565,yes,no,unknown,30,may,763,1,-1,0,unknown,yes,2,1.228365848861377,0.5728456191905973
38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,2,-1,0,unknown,yes,2,1.656479285159117,2.3340285743535496
40,services,married,primary,no,1082,yes,no,unknown,30,may,854,2,-1,0,unknown,yes,2,1.572128271614518,1.639859683784019
42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,2,-1,0,unknown,yes,2,1.5417523934323638,1.2362273128192502
46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,1,-1,0,unknown,yes,2,1.3346816957271483,1.0519217546681674
35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,10,-1,0,unknown,yes,2,1.8494350762718645,0.9441889336678009
34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,15,-1,0,unknown,yes,2,2.170111212233703,0.9495957184631831
32,services,married,secondary,no,-34,yes,no,unknown,30,may,1236,2,-1,0,unknown,yes,2,1.5005895434909835,1.1108377356861379
50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,3,-1,0,unknown,yes,2,1.4627905759705164,0.8181659904645022
35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,3,-1,0,unknown,yes,2,1.7756317338865717,2.253166424741753
36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,3,-1,0,unknown,yes,2,1.3252856000105997,0.3625675824432595
53,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980,2,-1,0,unknown,yes,2,1.8507008083892558,2.7827573293350545
46,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,2,-1,0,unknown,yes,2,1.2797998381340912,0.5825073748154628
26,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,2,-1,0,unknown,yes,2,1.2112558778817222,0.441659747371112
45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown,yes,2,1.4415473374248762,0.5483479368832231
31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,12,-1,0,unknown,yes,2,2.1085318833667497,1.4190550439592833
29,management,single,tertiary,no,0,yes,no,unknown,30,may,539,12,-1,0,unknown,yes,2,1.7206975341151756,0.2555163420712011
53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,5,-1,0,unknown,yes,2,1.60146137038774,1.3736270136712778
27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,2,-1,0,unknown,yes,2,1.6594680735630751,2.1837803132704683
39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526,2,-1,0,unknown,yes,2,1.0207515420664353,0.950691142668803
36,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,1,-1,0,unknown,yes,2,1.0245385213774243,1.1001540119257578
41,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,2,-1,0,unknown,yes,2,1.4671816951658219,2.8661682094798686
36,services,married,primary,no,0,yes,no,unknown,2,jun,1036,1,-1,0,unknown,yes,2,1.2207246031984063,1.6869488263434564
32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,-1,0,unknown,yes,2,1.0586930895848294,0.9195981616366595
35,services,married,secondary,no,152,yes,no,unknown,2,jun,563,1,-1,0,unknown,yes,2,1.0739048451210373,1.1827641414119268
36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,1,-1,0,unknown,yes,2,0.9357970979959155,0.6310314705137167
35,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,3,-1,0,unknown,yes,2,1.0617344095159573,0.9460494034824019
30,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747,2,-1,0,unknown,yes,2,1.0735884472331192,1.3238259230879235
42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,-1,0,unknown,yes,2,1.3480740544603687,1.7938098206494144
